Word name	Part of speech	Definition
Andron	n.	The apartment appropriated for the males. This was in the lower part of the house.
Andropetalous	a.	Produced by the conversion of the stamens into petals, as double flowers, like the garden ranunculus.
Androphagi	n. pl.	Cannibals; man-eaters; anthropophagi.
Androphagous	a.	Anthropophagous.
Androphore	n.	A support or column on which stamens are raised.
Androphore	n.	The part which in some Siphonophora bears the male gonophores.
Androsphinx	n.	A man sphinx; a sphinx having the head of a man and the body of a lion.
Androspore	n.	A spore of some algae, which has male functions.
Androtomous	a.	Having the filaments of the stamens divided into two parts.
Androtomy	n.	Dissection of the human body, as distinguished from zootomy; anthropotomy.
androus		A terminal combining form: Having a stamen or stamens; staminate; as, monandrous, with one stamen; polyandrous, with many stamens.
Anear	prep. & adv.	Near.
Anear	v. t. & i.	To near; to approach.
Aneath	prep. & adv.	Beneath.
Anecdotage	n.	Anecdotes collectively; a collection of anecdotes.
Anecdotal	a.	Pertaining to, or abounding with, anecdotes; as, anecdotal conversation.
Anecdote	n.	Unpublished narratives.
Anecdote	n.	A particular or detached incident or fact of an interesting nature; a biographical incident or fragment; a single passage of private life.
Anecdotic	a.	Alt. of Anecdotical
Anecdotical	a.	Pertaining to, consisting of, or addicted to, anecdotes.
Anecdotist	n.	One who relates or collects anecdotes.
Anelace	n.	Same as Anlace.
Anele	v. t.	To anoint.
Anele	v. t.	To give extreme unction to.
Anelectric	a.	Not becoming electrified by friction; -- opposed to idioelectric.
Anelectric	n.	A substance incapable of being electrified by friction.
Anelectrode	n.	The positive pole of a voltaic battery.
Anelectrotonus	n.	The condition of decreased irritability of a nerve in the region of the positive electrode or anode on the passage of a current of electricity through it.
Anemogram	n.	A record made by an anemograph.
Anemograph	n.	An instrument for measuring and recording the direction and force of the wind.
Anemographic	a.	Produced by an anemograph; of or pertaining to anemography.
Anemography	n.	A description of the winds.
Anemography	n.	The art of recording the direction and force of the wind, as by means of an anemograph.
Anemology	n.	The science of the wind.
Anemometer	n.	An instrument for measuring the force or velocity of the wind; a wind gauge.
Anemometric	a.	Alt. of Anemometrical
Anemometrical	a.	Of or pertaining to anemometry.
Anemometrograph	n.	An anemograph.
Anemometry	n.	The act or process of ascertaining the force or velocity of the wind.
Anemone	n.	A genus of plants of the Ranunculus or Crowfoot family; windflower. Some of the species are cultivated in gardens.
Anemone	n.	The sea anemone. See Actinia, and Sea anemone.
Anemonic	a.	An acrid, poisonous, crystallizable substance, obtained from, the anemone, or from anemonin.
Anemonin	n.	An acrid, poisonous, crystallizable substance, obtained from some species of anemone.
Anemony	n.	See Anemone.
Anemorphilous	a.	Fertilized by the agency of the wind; -- said of plants in which the pollen is carried to the stigma by the wind; wind-Fertilized.
Anemoscope	n.	An instrument which shows the direction of the wind; a wind vane; a weathercock; -- usually applied to a contrivance consisting of a vane above, connected in the building with a dial or index with pointers to show the changes of the wind.
Anencephalic	a.	Alt. of Anencephalous
Anencephalous	a.	Without a brain; brainless.
Anenst	a.	Alt. of Anent
Anent	a.	Over against; as, he lives anent the church.
Anent	a.	About; concerning; in respect; as, he said nothing anent this particular.
Anenterous	a.	Destitute of a stomach or an intestine.
Aneroid	a.	Containing no liquid; -- said of a kind of barometer.
Aneroid	n.	An aneroid barometer.
Anes	adv.	Once.
Anesthesia	a.	Alt. of Anesthetic
Anesthetic	a.	Same as Anaesthesia, Anaesthetic.
Anet	n.	The herb dill, or dillseed.
Anethol	n.	A substance obtained from the volatile oils of anise, fennel, etc., in the form of soft shining scales; -- called also anise camphor.
Anetic	a.	Soothing.
Aneurism	n.	A soft, pulsating, hollow tumor, containing blood, arising from the preternatural dilation or rupture of the coats of an artery.
Aneurismal	a.	Of or pertaining to an aneurism; as, an aneurismal tumor; aneurismal diathesis.
Anew	adv.	Over again; another time; in a new form; afresh; as, to arm anew; to create anew.
Anfractuose	a.	Anfractuous; as, anfractuose anthers.
Anfractuosities	pl.	of Anfractuosity
Anfractuosity	n.	A state of being anfractuous, or full of windings and turnings; sinuosity.
Anfractuosity	n.	A sinuous depression or sulcus like those separating the convolutions of the brain.
Anfractuous	a.	Winding; full of windings and turnings; sinuous; tortuous; as, the anfractuous spires of a born.
Anfracture	n.	A mazy winding.
Angariation	n.	Exaction of forced service; compulsion.
Angeiology		Alt. of Angeiotomy
Angeiotomy		Same as Angiology, Angiotomy, etc.
Angel	n.	A messenger.
Angel	n.	A spiritual, celestial being, superior to man in power and intelligence. In the Scriptures the angels appear as God's messengers.
Angel	n.	"One of a class of ""fallen angels;"" an evil spirit; as, the devil and his angels."
Angel	n.	A minister or pastor of a church, as in the Seven Asiatic churches.
Angel	n.	Attendant spirit; genius; demon.
Angel	n.	An appellation given to a person supposed to be of angelic goodness or loveliness; a darling.
Angel	n.	An ancient gold coin of England, bearing the figure of the archangel Michael. It varied in value from 6s. 8d. to 10s.
Angelage	n.	Existence or state of angels.
Angelet	n.	A small gold coin formerly current in England; a half angel.
Angel fish		See under Angel.
Angelhood	n.	The state of being an angel; angelic nature.
Angelic	a.	Alt. of Angelical
Angelical	a.	Belonging to, or proceeding from, angels; resembling, characteristic of, or partaking of the nature of, an angel; heavenly; divine.
Angelic	a.	Of or derived from angelica; as, angelic acid; angelic ether.
Angelica	n.	An aromatic umbelliferous plant (Archangelica officinalis or Angelica archangelica) the leaf stalks of which are sometimes candied and used in confectionery, and the roots and seeds as an aromatic tonic.
Angelica	n.	The candied leaf stalks of angelica.
Angelically	adv.	Like an angel.
Angelicalness	n.	The quality of being angelic; excellence more than human.
Angelify	v. t.	To make like an angel; to angelize.
Angelize	v. t.	To raise to the state of an angel; to render angelic.
Angellike	a. & adv.	Resembling an angel.
Angelolatry	n.	Worship paid to angels.
Angelology	n.	A discourse on angels, or a body of doctrines in regard to angels.
Angelophany	n.	The actual appearance of an angel to man.
Angelot	n.	A French gold coin of the reign of Louis XI., bearing the image of St. Michael; also, a piece coined at Paris by the English under Henry VI.
Angelot	n.	An instrument of music, of the lute kind, now disused.
Angelot	n.	A sort of small, rich cheese, made in Normandy.
Angelus	n.	A form of devotion in which three Ave Marias are repeated. It is said at morning, noon, and evening, at the sound of a bell.
Angelus	n.	The Angelus bell.
Anger	n.	Trouble; vexation; also, physical pain or smart of a sore, etc.
Anger	n.	A strong passion or emotion of displeasure or antagonism, excited by a real or supposed injury or insult to one's self or others, or by the intent to do such injury.
Angered	imp. & p. p.	of Anger
Angering	p. pr. & vb. n.	of Anger
Anger	v. t.	To make painful; to cause to smart; to inflame.
Anger	v. t.	To excite to anger; to enrage; to provoke.
Angerly	adv.	Angrily.
Angevine	a.	Of or pertaining to Anjou in France.
Angevine	n.	A native of Anjou.
Angienchyma	n.	Vascular tissue of plants, consisting of spiral vessels, dotted, barred, and pitted ducts, and laticiferous vessels.
Angina	n.	Any inflammatory affection of the throat or faces, as the quinsy, malignant sore throat, croup, etc., especially such as tends to produce suffocation, choking, or shortness of breath.
Anginous	a.	Alt. of Anginose
Anginose	a.	Pertaining to angina or angina pectoris.
Angio-		A prefix, or combining form, in numerous compounds, usually relating to seed or blood vessels, or to something contained in, or covered by, a vessel.
Angiocarpous	a.	Having fruit inclosed within a covering that does not form a part of itself; as, the filbert covered by its husk, or the acorn seated in its cupule.
Angiocarpous	a.	Having the seeds or spores covered, as in certain lichens.
Angiography	n.	A description of blood vessels and lymphatics.
Angiology	n.	That part of anatomy which treats of blood vessels and lymphatics.
Angioma	n.	A tumor composed chiefly of dilated blood vessels.
Angiomonospermous	a.	Producing one seed only in a seed pod.
Angioscope	n.	An instrument for examining the capillary vessels of animals and plants.
Angiosperm	n.	A plant which has its seeds inclosed in a pericarp.
Angiospermatous	a.	Same as Angiospermous.
Angiospermous	a.	Having seeds inclosed in a pod or other pericarp.
Angiosporous	a.	Having spores contained in cells or thecae, as in the case of some fungi.
Angiostomous	a.	With a narrow mouth, as the shell of certain gastropods.
Angiotomy	n.	Dissection of the blood vessels and lymphatics of the body.
Angle	n.	The inclosed space near the point where two lines meet; a corner; a nook.
Angle	n.	The figure made by. two lines which meet.
Angle	n.	The difference of direction of two lines. In the lines meet, the point of meeting is the vertex of the angle.
Angle	n.	A projecting or sharp corner; an angular fragment.
Angle	n.	"A name given to four of the twelve astrological ""houses."""
Angle	n.	A fishhook; tackle for catching fish, consisting of a line, hook, and bait, with or without a rod.
Angled	imp. & p. p.	of Angle
Angling	p. pr. & vb. n.	of Angle
Angle	v. i.	To fish with an angle (fishhook), or with hook and line.
Angle	v. i.	To use some bait or artifice; to intrigue; to scheme; as, to angle for praise.
Angle	v. t.	To try to gain by some insinuating artifice; to allure.
Angled	a.	Having an angle or angles; -- used in compounds; as, right-angled, many-angled, etc.
Anglemeter	n.	An instrument to measure angles, esp. one used by geologists to measure the dip of strata.
Angler	n.	One who angles.
Angler	n.	A fish (Lophius piscatorius), of Europe and America, having a large, broad, and depressed head, with the mouth very large. Peculiar appendages on the head are said to be used to entice fishes within reach. Called also fishing frog, frogfish, toadfish, goosefish, allmouth, monkfish, etc.
Angles	n. pl.	An ancient Low German tribe, that settled in Britain, which came to be called Engla-land (Angleland or England). The Angles probably came from the district of Angeln (now within the limits of Schleswig), and the country now Lower Hanover, etc.
Anglesite	n.	A native sulphate of lead. It occurs in white or yellowish transparent, prismatic crystals.
Anglewise	adv.	In an angular manner; angularly.
Angleworm	n.	A earthworm of the genus Lumbricus, frequently used by anglers for bait. See Earthworm.
Anglian	a.	Of or pertaining to the Angles.
Anglian	n.	One of the Angles.
Anglic	a.	Anglian.
Anglican	a.	English; of or pertaining to England or the English nation; especially, pertaining to, or connected with, the established church of England; as, the Anglican church, doctrine, orders, ritual, etc.
Anglican	a.	Pertaining to, characteristic of, or held by, the high church party of the Church of England.
